algorithm,variant,feature_count,feature_count_min,feature_count_max,feature_count_by_fold,folds,fit_seconds_mean,inference_seconds_mean,f1_mean,f1_std,pr_auc_mean,pr_auc_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std
decision_tree,all,,75,203,"[75, 202, 203]",3,19.49939971666633,3.1038255429994024,0.8797389914607704,0.00828065572670441,0.7967667644303633,0.018783368304727856,0.9508975314177959,0.01846372993450734,0.8619074003810286,0.02130395624825124,0.8997454754814219,0.029751836345760577,0.010104483822830745,0.0048428681110838
decision_tree,top_10,10.0,10,10,"[10, 10, 10]",3,3.8377201320011713,0.46216190866592416,0.8923106286607788,0.023475894418929177,0.8037030268068653,0.05471246003748842,0.9507465418753052,0.0075814005218184264,0.8842338925394486,0.04673245304826031,0.9021040892750776,0.01288118651077906,0.00701951089973624,0.0021095452027877146
decision_tree,top_20,20.0,20,20,"[20, 20, 20]",3,8.242832990666406,0.5678182616672226,0.8848864800932214,0.005680473370184574,0.8037409782056368,0.00963114058576793,0.9550113007482187,0.012125683207667383,0.8647984189270731,0.02400745154049649,0.9070139080919994,0.019479977432706845,0.009841965687574826,0.004666789902021631
decision_tree,top_30,30.0,30,30,"[30, 30, 30]",3,11.366390756667291,0.6494645056664012,0.8887737722951269,0.011396691575428546,0.8126685576426059,0.021639181735328056,0.95743361638645,0.010074565416820874,0.8699413776421023,0.034782943385023454,0.909976096200849,0.016531281943729163,0.008986986923439123,0.004017079963124881
lstm,all,,75,203,"[75, 202, 203]",3,49.29403366500022,14.14236114400046,0.8778716111800865,0.018571093109875675,0.9108863778201634,0.02663372751402796,0.9951346367808077,0.0030241259204444116,0.8356957719132545,0.03987870322082517,0.9261893461400138,0.013134639954548194,0.012324009897425181,0.005929415931342289
lstm,top_10,10.0,10,10,"[10, 10, 10]",3,31.854755180999444,7.068007105333284,0.8765735755071679,0.019747251462522847,0.9050163412174217,0.027163726749867348,0.99491233891617,0.002999999624510313,0.8270671186328525,0.042202874175612005,0.934330394368215,0.011811235282258708,0.01293370857257869,0.005503950762492489
lstm,top_20,20.0,20,20,"[20, 20, 20]",3,31.5305867303335,7.981245426667253,0.8811669467083122,0.015613202672034343,0.9138251476854938,0.02691037479303808,0.9953536895249405,0.0028471039091617053,0.8299997460627688,0.042468022772814765,0.9423020139113004,0.030975997297385115,0.012886591721477186,0.005973439890634744
lstm,top_30,30.0,30,30,"[30, 30, 30]",3,33.28737334299876,8.014966796000712,0.878355373027722,0.02012784654033253,0.9137388848364605,0.02758761605789179,0.9952845119004143,0.0029879736562853244,0.830833287054368,0.052988895172611954,0.9358284123230725,0.02863833071931225,0.0123858642116155,0.005828311690780151
random_forest,all,,75,203,"[75, 202, 203]",3,46.195704478667416,9.629932187333907,0.9178517202971554,0.01946349376540584,0.9670349874329354,0.010560836088798356,0.99818088454637,0.0006750762437598348,0.8755192172872368,0.03589978590206477,0.9653749421516453,0.002261986493649182,0.00888106311835818,0.0035803595449437437
random_forest,top_10,10.0,10,10,"[10, 10, 10]",3,22.33304601599957,2.8334053926676765,0.9209734555275014,0.025685237777689277,0.9711363787864445,0.015302130484572126,0.9985580678152225,0.0003874224000091531,0.8783599730015036,0.0442494152239761,0.9691995661853149,0.008423881019431702,0.008186518602489526,0.0025149847526942225
random_forest,top_20,20.0,20,20,"[20, 20, 20]",3,36.648347930333934,3.7052673823333557,0.9235518783580933,0.01999445906495446,0.9759848643327427,0.009696260355871752,0.9986713768210057,0.0004569505910896066,0.8834798446736851,0.03421663660181444,0.9681634770380912,0.008962555456465912,0.008210508129269803,0.0031672626830969793
random_forest,top_30,30.0,30,30,"[30, 30, 30]",3,42.511678194331274,3.958857023667709,0.9235818129799171,0.021094020160528963,0.9728219107301005,0.010094873150230003,0.9984600174349261,0.0006534924795432676,0.8818351125307119,0.03695137482525562,0.9703819755791705,0.010087510424585116,0.008393363554574661,0.0036334744025802042
