rank,feature,importance,used_by_decision_tree,used_by_lstm,used_by_random_forest
1,ct_state_ttl,0.13657662603160056,True,True,True
2,sttl,0.1286059748967714,True,True,True
3,dttl,0.0852047729447264,True,True,True
4,Sload,0.05492147941619159,True,True,True
5,tcprtt,0.05120462099327429,True,True,True
6,synack,0.046495664981360506,True,True,True
7,sbytes,0.0443280702323195,True,True,True
8,ackdat,0.04056371976095606,True,True,True
9,smeansz,0.030781611045368102,True,True,True
10,dmeansz,0.030344171175386042,True,True,True
11,Dload,0.029120188224952968,False,True,True
12,Dpkts,0.02890264668464029,False,True,True
13,Dintpkt,0.02492474128262414,False,True,True
14,dsport,0.022894377547523954,False,True,True
15,dur,0.022791511767140164,False,True,True
16,dbytes,0.022570198936758545,False,True,True
17,ct_srv_dst,0.019565089430306437,False,True,True
18,sport,0.017089148016611145,False,True,True
19,state_INT,0.016977747873951586,False,True,True
20,ct_srv_src,0.016371768455797624,False,True,True
21,ct_dst_src_ltm,0.014782405525667838,False,False,True
22,Sintpkt,0.012671147953181748,False,False,True
23,Sjit,0.009164907410119416,False,False,True
24,Djit,0.008455348219162922,False,False,True
25,Spkts,0.00779049729450757,False,False,True
26,ct_dst_ltm,0.0074196537871800234,False,False,True
27,ct_src_ltm,0.0057148736865959325,False,False,True
28,service_-,0.00561911733728123,False,False,True
29,sloss,0.00528793665504475,False,False,True
30,dtcpb,0.005244636706286573,False,False,True
